"label","num","ordinal_index","Content","pred"
"eaa",1,"second","Terry Gallagher Macdonald","Here are the second letters of each word:\n\n* Terry: e\n* Gallagher: a\n* Macdonald: c\n* Donald: o\n\nConcatenating these letters gives us: e-a-c-o."
"ne",2,"third","Denis Preston","Let's take the words ""Denis"" and ""Preston"":\n\n* DeniS: The third letter is ""n""\n* Preston: The third letter is ""r""\n\nConcatenating these letters, we get: nr"
"sc",2,"third","Nestor Beck","Let's take the third letter of each word:\n\n* Nestor: e\n* Beck: c\n\nConcatenating them, we get: ec"
"ed",3,"fourth","Wiley Madden","Let's take the fourth letter of each word:\n\n* Wiley: i\n* Madden: d\n\nConcatenating them, we get: id"
"MMBH",0,"first","Martin Mccann Benson Harrell","Here are the first letters of each name:\n\nM - Martin\nM - McCann\nB - Benson\nH - Harrell\n\nConcatenating these letters gives us: MM-BH."
"oi",1,"second","Cory Villegas","Let's take the second letter of each word:\n\nCory -> o\nVillegas -> i\n\nConcatenating them, we get:\noi"
"yl",3,"fourth","Lloyd Mullen","Let's take the fourth letter of each word:\n\nLloyd: l-o-y-d, so the fourth letter is ""o""\nMullen: m-u-l-l-e-n, so the fourth letter is ""l""\n\nConcatenating these two letters gives us: o-l"
"hn",3,"fourth","Nathaniel Blankenship","Let's break it down:\n\n* Nathaniel: The fourth letter is ""h""\n* Blankenship: The fourth letter is ""n""\n\nConcatenating them, we get: ""hn"""
"yca",1,"second","Kyle Mcguire Gaines","Here are the second letters of each word:\n\n* Kyle: y\n* McGuire: u\n* Gaines: a\n\nConcatenating these letters gives us: yu a"
"yr",2,"third","Jayson Burnett","Let's take the third letter of each word:\n\nJayson: y\nBurnett: r\n\nConcatenating them, we get: yr"
"AH",0,"first","Antwan Hale","The first letter of each word is:\n\nA (Ant)\nT (Twan)\nH (Hale)\n\nConcatenating these letters gives: ATH"
"uvll",2,"third","Saul Levy Miller Wolfe","Let's take the third letter of each word:\n\n* Saul: a\n* Levy: l\n* Miller: l\n* Wolfe: o\n\nConcatenating these letters, we get: allo."
"al",1,"second","Lance Blevins","Let's take the second letter of each word:\n\n* Lance: a\n* Blevins: l\n\nConcatenating these letters gives us ""al""."
"CF",0,"first","Carey Fowler","The first letter of each word is:\n\nC (Carey)\nF (Fowler)\n\nConcatenating these letters gives us:\nCF"
"noc",3,"fourth","Ronny Simon Erickson","Let's take the fourth letter of each name:\n\n* Ronny: o\n* Simon: i\n* Erickson: r\n* Concatenating them, we get: o-i-r\n\nSo, the answer is: oir."
"aoo",1,"second","Ramon Ponce Boyer","Let's take the second letter of each word:\n\n* Ramon: a\n* Ponce: o\n* Boyer: o\n* Concatenate them: aoO"
"bot",2,"third","Ruben Moody Hutchinson","Let's take the third letter of each word:\n\n* Ruben: u\n* Moody: o\n* Hutchinson: t\n\nConcatenating these letters, we get: u-o-t"
"uar",1,"second","Russell Macias Arias","Here are the second letters of each word:\n\n* Russell: us\n* Macias: ac\n* Arias: ri\n\nConcatenating these letters, we get: usacri"
"etr",2,"third","Abel Fitzgerald Marshall","Let's take the third letter of each name:\n\n* Abel: b\n* Fitzgerald: t\n* Marshall: r\n\nConcatenating these letters, we get: b-t-r"
"ngee",3,"fourth","Frankie Vargas Jones Greer","Let's take the fourth letter of each name:\n\n* Frankie: r\n* Vargas: a\n* Jones: n\n* Greer: e\n\nConcatenating these letters, we get: ran"
"onhc",1,"second","Joaquin Oneal Sheppard Mccarty","Here are the second letters of each word:\n\n* Joaquin: o\n* Oneal: n\n* Sheppard: h\n* Mccarty: c\n* and: (no letter, since ""and"" is a conjunction)\n* concatenated: onhcc\n\nSo the answer is: onhcc"
"igtc",3,"fourth","Reginald Wiggins Hart Garcia","Let's take the fourth letter of each name:\n\n* Reginald: e\n* Wiggins: i\n* Hart: r\n* Garcia: a\n\nConcatenating these letters, we get: e-i-r-a"
"CFN",0,"first","Clyde French Nixon","The first letter of each word is:\n\nC (Clyde)\nF (French)\nN (Nixon)\n\nConcatenating these letters gives us: CFN."
"tlro",1,"second","Stacy Fletcher Bryant Cooper","Here are the second letters of each name:\n\n* Stacy: t\n* Fletcher: l\n* Bryant: r\n* Cooper: o\n\nConcatenating these letters gives us: tlro."
"JG",0,"first","Jamel Greer","The first letter of each word is:\n\nJ (Jam)\nA (and)\nM (Mel)\nE (Greer)\n\nConcatenating these letters gives us: JAMΕ"
"LFW",0,"first","Lenny Francis Webster","Here are the first letters of each word:\n\nL - L\nE - E\nN - N\nN - N\nY - Y\nF - F\nR - R\nA - A\nN - N\nC - C\nI - I\nS - S\nW - W\nE - E\nB - B\n\nConcatenating these letters, we get: LENNYFFRANCISSWEB"
"dt",2,"third","Andre Waters","Let's take the third letter of each word:\n\n* Andre: n\n* Waters: t\n\nConcatenating them, we get: nt"
"els",2,"third","Joe Kelly Russo","The third letter of each word is:\n\n* Joe: o\n* Kelly: l\n* Russo: s\n\nConcatenating these letters gives us: olS."
"lld",2,"third","Gale Holmes Hodges","Let's take the third letter of each word:\n\n* Gale: a\n* Holmes: l\n* Hodges: d\n* Gates: (not present, since it's not one of the original words)\n\nConcatenating these letters gives us: ald"
"oso",2,"third","Scot Massey Lyons","Let's take the third letter of each word:\n\n* Scot: o\n* Massey: s\n* Lyons: y\n\nConcatenating these letters, we get: osy"
"iwra",3,"fourth","Junior Shaw Myers Camacho","Let's extract the fourth letter from each word:\n\n* Junior: u\n* Shaw: w\n* Myers: r\n* Camacho: a\n* Concatenate them: uwra\n\nSo, the answer is ""uwra""."
"DG",0,"first","Donnie Glenn","The first letter of each word is:\n\nD (Donnie)\nO (of)\nN (and)\nG (Glenn)\n\nConcatenating these letters gives: DOng"
"acoe",1,"second","Marc Mcmillan Robertson Meza","Here are the second letters of each word:\n\n* Marc: a\n* Mcmillan: c\n* Robertson: o\n* Meza: e\n\nConcatenating these letters, we get: aceo."
"AP",0,"first","Arnold Phelps","The first letter of each word is:\n\nA (Arnold)\nT (Phelps)\n\nConcatenating them gives us: AT"
"rus",2,"third","Kermit Faulkner Casey","Let's take the third letter of each word:\n\n* Kermit: e\n* Faulkner: u\n* Casey: s\n\nConcatenating these letters gives us: e-u-s"
"nn",2,"third","Sung Pennington","Let's take the third letter of each word:\n\n* Sung: n\n* Pennington: e\n\nConcatenating these letters gives us: ne"
"DCS",0,"first","Dudley Chavez Shelton","Here are the first letters of each word:\n\nD - Dudley\nC - Chavez\nS - Shelton\n\nConcatenating them gives us:\n\nDCS"
"JJDE",0,"first","Johnie Jaramillo Duncan Edwards","Here are the first letters of each word:\n\n* Johnie = J\n* Jaramillo = J\n* Duncan = D\n* Edwards = E\n\nConcatenating these letters gives us: JJDE"
"eae",1,"second","Neil Maxwell Beasley","Let's take the second letter of each word:\n\n* Neil -> i\n* Maxwell -> a\n* Beasley -> e\n\nConcatenating these letters, we get: i-a-e"
"GPS",0,"first","Gregorio Patrick Sloan","The first letter of each word is:\n\nG - G\nP - P\nS - S\n\nConcatenating these letters gives us: GPS"
"eaa",1,"second","Delmer Patterson Parks","Let's take the second letter of each word:\n\n* Delmer: e\n* Patterson: a\n* Parks: a\n\nConcatenating these letters, we get: ea'a"
"ezal",2,"third","Drew Vazquez Chase Keller","Let's take the third letter of each name:\n\n* Drew: w\n* Vazquez: a\n* Chase: h\n* Keller: l\n\nConcatenating these letters, we get: wahl"
"tiol",3,"fourth","Weston Hamilton Lugo Arellano","Let's take the fourth letter of each word:\n\n* Weston: t\n* Hamilton: l\n* Lugo: u\n* Arellano: r\n* Concatenate them: tlur\n\nSo, the answer is tlur."
"uh",3,"fourth","August Archer","Let's take the fourth letter of each word:\n\n* August: u\n* Archer: r\n\nConcatenating them, we get: ur"
"aa",1,"second","Marlin Garza","Let's take the second letter of each word:\n\nMarlin -> a\nGarza -> r\n\nConcatenating them, we get:\nar"
"LS",0,"first","Leslie Sellers","The first letter of each word is:\n\nL (Leslie)\nS (Sellers)\n\nConcatenating them gives us LS."
